long,lat,altissima
-81.54166667,35.875,1
-81.79166667,38.29166667,1
-82.04166667,34.95833333,1
-82.375,34.79166667,1
-82.375,35.04166667,1
-82.45833333,35.54166667,1
-82.45833333,35.70833333,1
-82.70833333,42.70833333,1
-82.875,36.125,1
-83.125,42.20833333,1
-83.20833333,35.95833333,1
-83.20833333,36.29166667,1
-83.375,41.70833333,1
-84.04166667,35.79166667,1
-84.125,39.79166667,1
-84.20833333,35.04166667,1
-84.29166667,33.875,1
-84.29166667,39.54166667,1
-84.29166667,42.54166667,1
-84.45833333,33.625,1
-84.45833333,39.125,1
-84.45833333,39.29166667,1
-84.79166667,35.79166667,1
-84.875,39.79166667,1
-85.54166667,35.125,1
-85.875,38.45833333,1
-86.125,35.125,1
-86.20833333,36.54166667,1
-86.20833333,43.04166667,1
-86.375,34.45833333,1
-86.79166667,36.04166667,1
-86.875,33.125,1
-86.875,35.45833333,1
-86.95833333,40.45833333,1
-87.29166667,41.54166667,1
-87.45833333,37.95833333,1
-87.54166667,37.375,1
-87.70833333,41.625,1
-87.70833333,41.70833333,1
-87.70833333,41.95833333,1
-87.79166667,36.04166667,1
-87.95833333,41.125,1
-88.29166667,35.70833333,1
-88.29166667,40.125,1
-88.54166667,35.45833333,1
-88.79166667,36.125,1
-88.95833333,40.45833333,1
-89.375,41.20833333,1
-89.625,37.70833333,1
-89.875,35.125,1
-89.95833333,35.125,1
-9.291666667,39.20833333,1
-90.29166667,38.625,1
-92.29166667,34.79166667,1
-93.375,35.70833333,1
-93.375,37.125,1
-94.125,35.95833333,1
-94.375,39.20833333,1
-94.875,39.29166667,1
-95.20833333,38.95833333,1
-95.70833333,37.45833333,1
-95.875,40.625,1
-96.125,41.54166667,1
-96.45833333,32.875,1
-96.54166667,38.79166667,1
-96.625,40.79166667,1
-96.875,32.79166667,1
-96.95833333,38.20833333,1
-97.20833333,37.70833333,1
-97.29166667,35.125,1
-97.45833333,32.79166667,1
-97.54166667,31.29166667,1
-98.95833333,38.54166667,1
0.125,42.125,1
0.125,47.29166667,1
